=== ACC userspace top 25 symbols: corosio ===
# Overhead       Samples  Command        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ............  .............  ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.07%             7  corosio_bench  [.] std::_Hashtable<boost::corosio::detail::io_uring_tcp_socket*, std::pair<boost::corosio::detail::io_uring_tcp_socket* const, std::shared_ptr<boost::corosio::detail::io_uring_tcp_socket> >, std::allocator<std::pair<boost::corosio::detail::io_uring_tcp_socket* const, std::shared_ptr<boost::corosio::detail::io_uring_tcp_socket> > >, std::__detail::_Select1st, std::equal_to<boost::corosio::detail::io_uring_tcp_socket*>, std::hash<boost::corosio::detail::io_uring_tcp_socket*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_erase(unsigned long, std::__detail::_Hash_node_base*, std::__detail::_Hash_node<std::pair<boost::corosio::detail::io_uring_tcp_socket* const, std::shared_ptr<boost::corosio::detail::io_uring_tcp_socket> >, false>*)
     0.06%             6  corosio_bench  [.] boost::capy::frame_alloc_mixin::operator delete(void*, unsigned long)
     0.06%             6  corosio_bench  [.] boost::corosio::detail::io_uring_tcp_socket::write_some(std::__n4861::coroutine_handle<void>, boost::capy::executor_ref, boost::corosio::buffer_param, std::stop_token, std::error_code*, unsigned long*)
     0.06%             6  corosio_bench  [.] boost::corosio::detail::io_uring_tcp_socket::read_some(std::__n4861::coroutine_handle<void>, boost::capy::executor_ref, boost::corosio::buffer_param, std::stop_token, std::error_code*, unsigned long*)
     0.06%             6  corosio_bench  [.] boost::corosio::detail::io_uring_tcp_socket::connect(std::__n4861::coroutine_handle<void>, boost::capy::executor_ref, boost::corosio::endpoint, std::stop_token, std::error_code*)
     0.05%             5  corosio_bench  [.] boost::corosio::native_tcp_socket<boost::corosio::io_uring_t{}>::native_write_awaitable<boost::capy::detail::slice_impl<boost::capy::const_buffer>::data_view>::await_suspend(std::__n4861::coroutine_handle<void>, boost::capy::io_env const*)
     0.05%             5  corosio_bench  [.] boost::corosio::detail::io_uring_scheduler::run()
     0.05%             5  corosio_bench  [.] boost::corosio::detail::uring_accept_op::do_handler(void*, boost::corosio::detail::scheduler_op*, unsigned int, unsigned int)
     0.04%             6  corosio_bench  [.] perf::statistics::percentile(double) const
     0.04%             4  corosio_bench  [.] boost::corosio::detail::io_uring_tcp_socket::~io_uring_tcp_socket()
     0.04%             4  corosio_bench  [.] boost::capy::recycling_memory_resource::do_deallocate(void*, unsigned long, unsigned long)
     0.04%             4  corosio_bench  [.] _ZZZN13corosio_bench12_GLOBAL__N_122bench_concurrent_churnITnDaXtlN5boost7corosio10io_uring_tEEEEEvRN5bench5stateEENKUliE_clEiENKUlRNS3_17native_tcp_socketIXtlS4_EEEENS3_8endpointEE_clESB_SC_.destroy

=== ACC userspace top 25 symbols: asio ===
# Overhead       Samples  Command        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ............  .............  ......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.64%            82  corosio_bench  [.] void std::__introsort_loop<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, long, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, long, __gnu_cxx::__ops::_Iter_less_iter)
     0.21%            22  corosio_bench  [.] asio_bench::(anonymous namespace)::bench_concurrent_churn(bench::state&)::$_1::operator()(int) const [clone .resume]
     0.16%            17  corosio_bench  [.] boost::asio::detail::scheduler::do_run_one(boost::asio::detail::conditionally_enabled_mutex::scoped_lock&, boost::asio::detail::scheduler_thread_info&, boost::system::error_code const&)
     0.14%            15  corosio_bench  [.] boost::asio::detail::io_uring_service::io_queue::perform_io(int)
     0.12%            13  corosio_bench  [.] boost::asio::detail::io_uring_service::run(long, boost::asio::detail::op_queue<boost::asio::detail::scheduler_operation>&)
     0.10%            10  corosio_bench  [.] boost::asio::detail::awaitable_async_op<void (boost::system::error_code), boost::asio::deferred_async_operation<void (boost::system::error_code), boost::asio::basic_socket<boost::asio::ip::tcp, boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul> >::initiate_async_connect, boost::asio::ip::basic_endpoint<boost::asio::ip::tcp> const&, boost::system::error_code&>, boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul> >::await_suspend(std::__n4861::coroutine_handle<void>)::{lambda(void*)#1}::__invoke(void*)
     0.10%            10  corosio_bench  [.] boost::asio::detail::io_uring_service::start_op(int, boost::asio::detail::io_uring_service::io_object*&, boost::asio::detail::io_uring_operation*, bool)
     0.09%             9  corosio_bench  [.] boost::asio::detail::scheduler::run(boost::system::error_code&)
     0.09%             9  corosio_bench  [.] boost::asio::basic_socket<boost::asio::ip::tcp, boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul> >::close()
     0.08%             8  corosio_bench  [.] boost::asio::detail::service_registry::do_use_service(boost::asio::execution_context::service::key const&, boost::asio::execution_context::service* (*)(boost::asio::execution_context&, void*), void*)
     0.08%             8  corosio_bench  [.] void boost::asio::basic_socket<boost::asio::ip::tcp, boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul> >::set_option<boost::asio::detail::socket_option::integer<1, 8> >(boost::asio::detail::socket_option::integer<1, 8> const&)
     0.08%             8  corosio_bench  [.] void* boost::asio::detail::thread_info_base::allocate<boost::asio::detail::thread_info_base::default_tag>(boost::asio::detail::thread_info_base::default_tag, boost::asio::detail::thread_info_base*, unsigned long, unsigned long)
     0.07%             7  corosio_bench  [.] void boost::asio::basic_socket<boost::asio::ip::tcp, boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul> >::set_option<boost::asio::detail::socket_option::integer<1, 7> >(boost::asio::detail::socket_option::integer<1, 7> const&)
     0.07%             7  corosio_bench  [.] boost::asio::detail::io_uring_socket_move_accept_op<boost::asio::ip::tcp, boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul>, boost::asio::detail::awaitable_async_op_handler<void (boost::system::error_code, boost::asio::basic_stream_socket<boost::asio::ip::tcp, boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul> >), boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul>, void>, boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul> >::do_complete(void*, boost::asio::detail::scheduler_operation*, boost::system::error_code const&, unsigned long)
     0.07%             7  corosio_bench  [.] boost::asio::detail::read_op<boost::asio::basic_stream_socket<boost::asio::ip::tcp, boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul> >, boost::asio::mutable_buffer, boost::asio::mutable_buffer const*, boost::asio::detail::transfer_all_t, boost::asio::detail::awaitable_async_op_handler<void (boost::system::error_code, unsigned long), boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul>, void> >::operator()(boost::system::error_code, unsigned long, int)
     0.07%             7  corosio_bench  [.] void boost::asio::io_context::basic_executor_type<std::allocator<void>, 4ul>::execute<boost::asio::detail::binder2<boost::asio::detail::read_op<boost::asio::basic_stream_socket<boost::asio::ip::tcp, boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul> >, boost::asio::mutable_buffer, boost::asio::mutable_buffer const*, boost::asio::detail::transfer_all_t, boost::asio::detail::awaitable_async_op_handler<void (boost::system::error_code, unsigned long), boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul>, void> >, boost::system::error_code, unsigned long> >(boost::asio::detail::binder2<boost::asio::detail::read_op<boost::asio::basic_stream_socket<boost::asio::ip::tcp, boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul> >, boost::asio::mutable_buffer, boost::asio::mutable_buffer const*, boost::asio::detail::transfer_all_t, boost::asio::detail::awaitable_async_op_handler<void (boost::system::error_code, unsigned long), boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul>, void> >, boost::system::error_code, unsigned long>&&) const
     0.07%             7  corosio_bench  [.] boost::asio::detail::scheduler::work_finished()
     0.07%             7  corosio_bench  [.] boost::asio::detail::awaitable_thread<boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul> >::~awaitable_thread()
     0.06%             6  corosio_bench  [.] boost::asio::detail::io_uring_socket_recv_op<boost::asio::mutable_buffer, boost::asio::detail::read_op<boost::asio::basic_stream_socket<boost::asio::ip::tcp, boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul> >, boost::asio::mutable_buffer, boost::asio::mutable_buffer const*, boost::asio::detail::transfer_all_t, boost::asio::detail::awaitable_async_op_handler<void (boost::system::error_code, unsigned long), boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul>, void> >, boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul> >::do_complete(void*, boost::asio::detail::scheduler_operation*, boost::system::error_code const&, unsigned long)
     0.06%             6  corosio_bench  [.] boost::asio::detail::awaitable_thread<boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul> >::pump()
     0.06%             6  corosio_bench  [.] void boost::asio::detail::initiate_co_spawn<boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul> >::operator()<boost::asio::detail::detached_handler, boost::asio::detail::awaitable_as_function<void, boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul> > >(boost::asio::detail::detached_handler&&, boost::asio::detail::awaitable_as_function<void, boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul> >&&) const
     0.05%             5  corosio_bench  [.] boost::asio::detail::io_uring_service::perform_io_cleanup_on_block_exit::~perform_io_cleanup_on_block_exit()
     0.05%             5  corosio_bench  [.] void boost::asio::basic_socket<boost::asio::ip::tcp, boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul> >::set_option<boost::asio::detail::socket_option::linger<1, 13> >(boost::asio::detail::socket_option::linger<1, 13> const&)
     0.05%             5  corosio_bench  [.] boost::asio::detail::socket_ops::close(int, unsigned char&, bool, boost::system::error_code&)
     0.05%             5  corosio_bench  [.] boost::asio::detail::io_uring_service::submit_sqes_op::do_complete(void*, boost::asio::detail::scheduler_operation*, boost::system::error_code const&, unsigned long)
     0.05%             5  corosio_bench  [.] asio_bench::(anonymous namespace)::bench_concurrent_churn(bench::state&)::$_1::operator()(int) const::{lambda(boost::asio::basic_stream_socket<boost::asio::ip::tcp, boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul> >&, boost::asio::ip::basic_endpoint<boost::asio::ip::tcp>)#1}::operator()(boost::asio::basic_stream_socket<boost::asio::ip::tcp, boost::asio::io_context::basic_executor_type<std::allocator<void>, 0ul> >&, boost::asio::ip::basic_endpoint<boost::asio::ip::tcp>) const [clone .destroy]
     0.05%             5  corosio_bench  [.] boost::asio::detail::io_uring_service::do_cancel_ops(boost::asio::detail::io_uring_service::io_object*&, boost::asio::detail::op_queue<boost::asio::detail::scheduler_operation>&)

